Name,Year,Club,Goals,Assists,Shots,Minutes Played,Country,Club Position
Matteo Darmian,15/16,inter,0,0.0,1.0,308,Italy,Sub
Artem Dzyuba,15/16,zenit-st-petersburg,6,2.0,18.0,633,Russia,ST
Jérôme Boateng,15/16,bayern-munchen,0,0.0,4.0,537,Germany,Sub
Gregory van der Wiel,15/16,paris-saint-germain,0,1.0,2.0,375,Netherlands,Sub
Diego Costa,15/16,atletico-madrid,2,1.0,14.0,663,Spain,ST
Claudio Beauvue,15/16,olympique-lyonnais,0,0.0,3.0,193,France,Sub
William Vainqueur,15/16,roma,0,0.0,1.0,193,France,CDM
David Luiz,15/16,chelsea,1,0.0,3.0,630,Brazil,CB
Edinson Cavani,15/16,manchester-united,2,0.0,14.0,642,Uruguay,ST
Lasse Nielsen,15/16,kaa-gent,0,0.0,0.0,720,Denmark,LCB
Lasse Nielsen,15/16,kaa-gent,0,0.0,0.0,720,Denmark,LCB
Marouane Fellaini,15/16,manchester-united,0,0.0,3.0,206,Belgium,Sub
Yasin Öztekin,15/16,galatasaray,0,0.0,9.0,392,Turkey,Sub
Ibrahima Traoré,15/16,borussia-mgladbach,0,0.0,6.0,287,Guinea,Res
Håvard Nordtveit,15/16,1899-hoffenheim,0,0.0,3.0,368,Norway,Sub
Ezequiel Lavezzi,15/16,paris-saint-germain,0,0.0,4.0,86,Argentina,Res
Rafinha,15/16,kaa-gent,0,0.0,0.0,271,Brazil,RM
Rafinha,15/16,kaa-gent,0,0.0,0.0,271,Brazil,Sub
Rafinha,15/16,kaa-gent,0,0.0,0.0,271,Brazil,RB
Aaron Ramsey,15/16,juventus,0,1.0,3.0,290,Wales,Sub
Lars Stindl,15/16,borussia-mgladbach,3,2.0,11.0,517,Germany,RS
Fabian Delph,15/16,manchester-city,0,0.0,1.0,115,England,Sub
Adil Rami,15/16,sevilla,0,0.0,1.0,360,France,RCB
Seydou Doumbia,15/16,sporting-cp,3,0.0,9.0,419,Ivory Coast,ST
Kirill Nababkin,15/16,cska-moscow,0,0.0,0.0,165,Russia,Sub
Danny,15/16,zenit-st-petersburg,1,2.0,5.0,716,Portugal,Sub
Alejandro Domínguez,15/16,olympiacos,0,0.0,1.0,97,Argentina,Sub
Kieran Gibbs,15/16,arsenal,0,0.0,0.0,212,England,Sub
Branislav Ivanović,15/16,zenit-st-petersburg,0,0.0,2.0,360,Serbia,RCB
Viktor Vasin,15/16,cska-moscow,0,0.0,0.0,45,Russia,Sub
Viktor Fayzulin,15/16,zenit-st-petersburg,0,0.0,0.0,31,Russia,Res
Aleksandar Kolarov,15/16,inter,0,0.0,2.0,391,Serbia,Sub
Zoran Tošić,15/16,cska-moscow,0,1.0,7.0,490,Serbia,RM
Toni Kroos,15/16,real-madrid,0,1.0,10.0,994,Germany,LCM
Max Kruse,15/16,vfl-wolfsburg,2,1.0,11.0,683,Germany,LS
Sven Ulreich,15/16,bayern-munchen,0,0.0,0.0,90,Germany,Sub
Morgan Schneiderlin,15/16,manchester-united,0,0.0,2.0,270,France,LDM
Aurélien Chedjou,15/16,galatasaray,0,1.0,2.0,360,Cameroon,RCB
Medhi Benatia,15/16,juventus,0,0.0,3.0,175,Morocco,Sub
Holger Badstuber,15/16,bayern-munchen,0,0.0,0.0,52,Germany,Sub
Eden Hazard,15/16,real-madrid,0,1.0,11.0,525,Belgium,LW
Miralem Pjanić,15/16,barcelona,2,1.0,11.0,570,Bosnia Herzegovina,RDM
Claudio Marchisio,15/16,juventus,0,0.0,3.0,405,Italy,Sub
Jo Inge Berget,15/16,malmo-ff,0,0.0,5.0,495,Norway,LM
Javi Fuego,15/16,valencia,0,0.0,2.0,354,Spain,RDM
Juan Mata,15/16,manchester-united,1,2.0,4.0,328,Spain,Sub
Luiz Gustavo,15/16,vfl-wolfsburg,0,0.0,11.0,630,Brazil,LDM
Kyriakos Papadopoulos,15/16,bayer-04-leverkusen,1,0.0,3.0,361,Greece,RCB
Nicklas Pedersen,15/16,kaa-gent,0,0.0,0.0,10,Denmark,Sub
Ángel Di María,15/16,paris-saint-germain,3,2.0,21.0,765,Argentina,RW
Arjen Robben,15/16,bayern-munchen,2,1.0,5.0,158,Netherlands,RM
Selçuk İnan,15/16,galatasaray,2,0.0,6.0,450,Turkey,RDM
Jem Karacan,15/16,galatasaray,0,0.0,0.0,90,Turkey,Sub
Willian,15/16,chelsea,5,1.0,12.0,641,Brazil,Sub
Ljubomir Fejsa,15/16,sl-benfica,0,0.0,0.0,382,Serbia,CDM
Artem Kravets,15/16,dynamo-kyiv,0,0.0,2.0,147,Ukraine,Sub
Éver Banega,15/16,sevilla,2,0.0,7.0,412,Argentina,CAM
Bas Dost,15/16,sporting-cp,1,0.0,9.0,370,Netherlands,RS
Nana Asare,15/16,kaa-gent,0,0.0,5.0,720,Ghana,LM
Héctor Moreno,15/16,psv-eindhoven,1,0.0,2.0,750,Mexico,LCB
Maurício,15/16,zenit-st-petersburg,0,0.0,1.0,85,Brazil,Sub
Maurício,15/16,zenit-st-petersburg,0,0.0,1.0,85,Brazil,LCM
Thiago Silva,15/16,chelsea,0,0.0,3.0,810,Brazil,LCB
David Ospina,15/16,napoli,0,0.0,0.0,270,Colombia,Sub
Tony Jantschke,15/16,borussia-mgladbach,0,0.0,1.0,90,Germany,RB
Danny Welbeck,15/16,arsenal,0,0.0,3.0,91,England,LM
Enzo Pérez,15/16,valencia,0,0.0,1.0,361,Argentina,RCM
Pablo Piatti,15/16,valencia,0,1.0,3.0,225,Argentina,LM
Augusto Fernández,15/16,atletico-madrid,0,1.0,2.0,362,Argentina,Sub
Alexis Sánchez,15/16,inter,3,5.0,11.0,622,Chile,ST
Javier Hernández,15/16,bayer-04-leverkusen,5,0.0,18.0,487,Mexico,ST
Thomas Müller,15/16,bayern-munchen,8,2.0,30.0,926,Germany,CAM
Sebastian Rode,15/16,borussia-dortmund,0,1.0,4.0,90,Germany,Sub
Jordi Alba,15/16,barcelona,0,1.0,3.0,734,Spain,LCB
Pedro,15/16,chelsea,0,0.0,6.0,294,Spain,RW
Axel Witsel,15/16,borussia-dortmund,1,1.0,9.0,630,Belgium,Res
Agon Mehmeti,15/16,malmo-ff,0,0.0,1.0,28,Albania,Sub
Tobias Sana,15/16,malmo-ff,0,0.0,0.0,64,Sweden,Sub
Sofiane Feghouli,15/16,galatasaray,2,0.0,4.0,411,Algeria,RM
Aleksandar Dragović,15/16,bayer-04-leverkusen,1,0.0,1.0,720,Austria,LCB
Admir Mehmedi,15/16,bayer-04-leverkusen,4,0.0,11.0,370,Switzerland,Sub
Kevin Trapp,15/16,paris-saint-germain,0,0.0,0.0,900,Germany,GK
Clément Grenier,15/16,stade-rennais,0,0.0,2.0,70,France,Sub
Ömer Toprak,15/16,borussia-dortmund,0,0.0,0.0,248,Turkey,RCB
Yacine Brahimi,15/16,fc-porto,1,0.0,9.0,406,Algeria,LM
Olivier Giroud,15/16,chelsea,5,0.0,16.0,387,France,Sub
Márcio Azevedo,15/16,shakhtar-donetsk,0,0.0,1.0,244,Brazil,Sub
Oscar,15/16,chelsea,2,1.0,8.0,362,Brazil,Res
Sergio Busquets,15/16,barcelona,0,0.0,4.0,724,Spain,CDM
Mehdi Carcela-González,15/16,olympiacos,0,0.0,1.0,140,Morocco,RM
Wilfried Bony,15/16,manchester-city,2,2.0,12.0,279,Ivory Coast,Sub
Rafael,15/16,basaksehir-fk,0,0.0,3.0,337,Brazil,Sub
Rafael,15/16,basaksehir-fk,0,0.0,3.0,337,Brazil,GK
Rafael,15/16,basaksehir-fk,0,0.0,3.0,337,Brazil,Sub
Taison,15/16,shakhtar-donetsk,0,1.0,3.0,256,Brazil,LM
Evandro,15/16,fc-porto,0,0.0,3.0,74,Brazil,Sub
Mariano,15/16,galatasaray,0,0.0,0.0,81,Brazil,RB
Mariano,15/16,galatasaray,0,0.0,0.0,81,Dominican Republic,Sub
Daniel Caligiuri,15/16,fc-schalke-04,1,1.0,10.0,434,Italy,Sub
André Hahn,15/16,borussia-mgladbach,0,0.0,0.0,99,Germany,Sub
Francis Coquelin,15/16,valencia,0,0.0,1.0,393,France,LDM
Luuk de Jong,15/16,sevilla,2,1.0,9.0,559,Netherlands,ST
Jeroen Zoet,15/16,psv-eindhoven,0,0.0,0.0,750,Netherlands,GK
Dimitrios Siovas,15/16,olympiacos,0,1.0,3.0,540,Greece,Sub
